ChEMBL_ID,canonical_smiles,IC50,IC50_units,Assay_Description
CHEMBL131083,CC(C)n1cnc2c(NCc3ccc(C(F)(F)F)cc3)nc(I)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL3085243,CC(C)n1cnc2c(Nc3ccccc3)nc(N3CCC[C@@H]3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL129973,C=CCN(C)c1nc(NCCO)nc2c1ncn2C,100000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL134233,CCC(O)CCc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL338924,CCC(C)(O)CCc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL440717,CC(C)n1cnc2c(NCc3ccccc3)nc(NCC(O)c3ccccc3)nc21,2300.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL3085239,CC(C)[C@H](CO)Nc1nc(NCc2ccc3c(c2)OCO3)c2ncn(C(C)C)c2n1,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL336351,CC(C)n1cnc2c(NCc3ccccc3)nc(C#CC(C)(O)c3ccccc3)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL336176,C=CCN(C)c1nc(NCCO)nc2c1ncn2C(C)C,100000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL25840,CCC(C)(O)C#Cc1nc(NCc2ccc(Cl)c(Cl)c2)c2ncn(C(C)C)c2n1,500.0,nM,Compound was tested for its inhibitory activity against cyclin-dependent kinase 5
CHEMBL3085233,CC(C)n1cnc2c(NCc3ccc(C(F)(F)F)cc3)nc(N3CCC[C@@H]3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL133461,CCCCNc1nc(C#CC(C)(O)Cc2ccccc2)nc2c1ncn2C(C)C,340.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL336537,CCCCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,2300.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL335069,CC(C)n1cnc2c(NCc3ccccc3)nc(CCC(C)(O)c3ccccc3)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL2112679,CC(C)n1cnc2c(NC(CO)c3ccccc3)nc(N3CCC[C@H]3CO)nc21,,nM,Inhibition of cyclin-dependent kinase 5 (Not determined)
CHEMBL3085250,OC[C@H]1CCCN1c1nc(NCc2ccccc2)c2ncn(Cc3ccccc3)c2n1,100000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL280623,CCOc1ccc(Nc2nc(C#CC(C)(O)CC)nc3c2ncn3C(C)C)cc1,400.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL3085246,CC(C)(C)n1cnc2c(NCc3ccccc3)nc(N3CCC[C@@H]3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL2111871,CC(C)n1cnc2c(NCc3ccccc3)nc(N[C@H](CO)c3ccccc3)nc21,3500.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL2111872,CC(C)n1cnc2c(NCc3ccccc3)nc(N3CCC[C@@H]3CO)nc21,1300.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL3085237,CC(C)n1cnc2c(NCc3ccc4c(c3)OCO4)nc(N3CCC[C@@H]3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL130175,COc1ccc(CNc2nc(I)nc3c2ncn3C(C)C)cc1,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL445125,CCC(O)C#Cc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,,nM,Inhibition of cyclin-dependent kinase 5 (Not determined)
CHEMBL132243,CC(C)n1cnc2c(NCc3ccccc3)nc(C#CCO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL337291,CC(C)n1cnc2c(Cl)nc(I)nc21,100000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL134080,CC(C)n1cnc2c(NCc3ccccc3)nc(C#CCCCO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL132469,CC(C)n1cnc2c(NCc3ccccc3)nc(C#CCCCCO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL131697,CCCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,400.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL335852,CC(C)n1cnc2c(NCc3ccccc3)nc(CCCCCO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL2112681,CC(C)n1cnc2c(NCc3ccccc3)nc(N[C@@H](CO)c3ccccc3)nc21,6000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL133477,Ic1nc(NCc2ccccc2)c2ncn(Cc3ccccc3)c2n1,100000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL336117,C=CCN(C)c1nc(I)nc2c1ncn2C,40000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL334507,CC(C)n1cnc2c(Nc3ccc(Br)cc3)nc(N3CCCC3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL24484,CCC(C)(O)C#Cc1nc(NCc2ccc(Cl)cc2)c2ncn(C(C)C)c2n1,230.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL280074,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21,3000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL2111873,CC(C)n1cnc2c(NCc3ccccc3)nc(N[C@@H](C)CO)nc21,35000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL3085245,CC(C)n1cnc2c(NCc3ccc(Cl)c(Cl)c3)nc(N3CCC[C@@H]3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL284899,CCC(C)(O)C#Cc1nc(Nc2ccccc2)c2ncn(C(C)C)c2n1,300.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL23317,CCC(C)(O)C#Cc1nc(Nc2ccc(OC)cc2)c2ncn(C(C)C)c2n1,300.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL436368,COc1ccc(CNc2nc(C#CC3(O)CCCCCC3)nc3c2ncn3C(C)C)cc1,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL440163,CC(C)n1cnc2c(Nc3ccc(Br)cc3)nc(I)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL133533,CC(C)n1cnc2c(NCc3ccccc3)nc(I)nc21,13000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL133055,COc1cccc(CNc2nc(I)nc3c2ncn3C(C)C)c1,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL2111869,CC(C)n1cnc2c(NC(CO)c3ccccc3)nc(N3CCC[C@@H]3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL422759,CCC(C)(O)C#Cc1nc(NCc2ccc(OC)cc2)c2ncn(C(C)C)c2n1,400.0,nM,Compound was tested for its inhibitory activity against cyclin-dependent kinase 5
CHEMBL23525,CCC(C)(O)C#Cc1nc(NCc2ccc(N(C)C)cc2)c2ncn(C(C)C)c2n1,260.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL336283,CCC(C)(O)C#Cc1nc(NCCc2ccc(OC)cc2)c2ncn(C(C)C)c2n1,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL335938,Ic1nc(NCc2ccccc2)c2ncn(C3CCCCC3)c2n1,100000.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL3085236,CC(C)n1cnc2c(NCc3cccc(Br)c3)nc(N3CCC[C@@H]3CO)nc21,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL282330,CCOc1ccc(CNc2nc(C#CC(C)(O)CC)nc3c2ncn3C(C)C)cc1,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL52387,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,160.0,nM,Inhibitory activity against Cyclin-dependent kinase 5
CHEMBL338617,COc1ccccc1CNc1nc(I)nc2c1ncn2C(C)C,,nM,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined
CHEMBL363711,CC(C)C(=O)Nc1ncc(C(C)C)s1,321.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL188172,CC(C)c1cnc(NC(=O)c2ccccc2)s1,1150.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL186120,CC(C)c1cnc(NC(=O)Oc2ccccc2)s1,1600.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL434917,CC(C)c1cnc(NC(=O)C(=O)c2ccccc2)s1,4580.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL186510,CC(C)c1cnc(NC(=O)Nc2ccccc2)s1,102.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL426972,CC(C)c1cnc(NC(=O)Cc2ccccc2)s1,64.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL185498,CCc1cnc(NC(=O)Cc2ccccc2)s1,621.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL365855,O=C(Cc1ccccc1)Nc1ncc(C2CCC2)s1,25.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL186511,O=C(Cc1ccccc1)Nc1ncc(C2CCCC2)s1,64.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL186846,O=C(Cc1ccccc1)Nc1ncc(C2CCCCC2)s1,390.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL186847,O=C(Cc1ccccc1)Nc1ncc(C2=CCCC2)s1,6530.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL186932,CCCCCc1cnc(NC(=O)Cc2ccccc2)s1,3270.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL186934,O=C(Cc1ccccc1)Nc1ncc(-c2ccccc2)s1,1570.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL362369,CC(=O)c1cnc(NC(=O)Cc2ccccc2)s1,7670.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL185734,CSc1cnc(NC(=O)Cc2ccccc2)s1,91.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL186201,O=C(Cc1ccccc1)Nc1ncc(Br)s1,900.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL363252,CN(C)c1cnc(NC(=O)Cc2ccccc2)s1,3990.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL186898,O=C(Cc1ccc2[nH]cnc2c1)Nc1ncc(C2CCC2)s1,7.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL363954,O=C(Cc1ccc2ncccc2c1)Nc1ncc(C2CCC2)s1,10.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL186470,Cc1nc2ccc(CC(=O)Nc3ncc(C4CCC4)s3)cc2s1,12.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL184404,O=C(Cc1cccc2cnccc12)Nc1ncc(C2CCC2)s1,13.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL186240,O=C(Cc1c[nH]c2ccccc12)Nc1ncc(C2CCC2)s1,16.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL187903,Cc1cc2ncn(CC(=O)Nc3ncc(C4CCC4)s3)c2cc1C,13.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL364338,O=C(Cn1ccc2ccccc21)Nc1ncc(C2CCC2)s1,48.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL185470,O=C(Nc1ccccc1)Nc1ncc(C2CCC2)s1,183.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL187015,O=C(Nc1ccc2ncccc2c1)Nc1ncc(C2CCC2)s1,44.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL359591,O=C(Nc1ccc2cnccc2c1)Nc1ncc(C2CCC2)s1,44.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL187256,O=C(Nc1ncc(C2CCC2)s1)Nc1cccc2ncccc12,13.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL364213,O=C(Nc1ncc(C2CCC2)s1)Nc1cccc2cnccc12,8.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL186342,O=C(Nc1ncc(C2CCC2)s1)Nc1cccc2ccncc12,5.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL363283,O=C(Nc1ncc(C2CCC2)s1)Nc1cccc2c[nH]nc12,190.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL186371,O=C(Nc1ncc(C2CCC2)s1)Nc1cccc2[nH]nnc12,41.0,nM,Concentration required for inhibition of cyclin-dependent kinase 5 was measured by scintillation proximity assay
CHEMBL210540,Cc1cc(-c2cnc(Nc3cnc(CN4CCN(C)CC4)cn3)s2)nc(OC2CCCCC2)n1,3000.0,nM,Inhibition of CDK5
CHEMBL427045,Cc1cc(-c2cnc(Nc3ccccn3)s2)nc(OC2CCCCC2)n1,10000.0,nM,Inhibition of CDK5
CHEMBL212049,Cc1cnc(OC2CCCCC2)nc1-c1cnc(Nc2ccccn2)s1,10000.0,nM,Inhibition of CDK5
CHEMBL424696,c1ccc(Nc2ncc(-c3ccnc(OC4CCCCC4)n3)s2)nc1,34.0,nM,Inhibition of CDK5
CHEMBL386661,CNc1ncc2cc(-c3cc(C(=O)Nc4cc(C(F)(F)F)ccc4OC4CCN(C)CC4)ccc3C)ccc2n1,25000.0,nM,Inhibition of CDK5 by HTRF kinase assay
CHEMBL215943,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1,25000.0,nM,Inhibition of CDK5 by HTRF kinase assay
CHEMBL373882,CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1,100000.0,nM,Inhibition of CDK5
CHEMBL386637,CN(C)[C@H]1CCCN(c2ccc(C(F)(F)F)cc2NC(=O)c2cc(C#Cc3cnc(N)nc3)ccc2F)C1,100000.0,nM,Inhibition of CDK5
CHEMBL410295,Cc1cccc(C)c1-n1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n2c3ccccc3nc12,10000.0,nM,Inhibition of CDK5 by HTRF assay
CHEMBL272888,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1,25000.0,nM,Inhibition of CDK5 by HTRF assay
CHEMBL427901,CCNC(=O)O[C@@H](C)[C@H]1c2ccccc2-c2c3c(c4c([nH]c5ccccc54)c21)CNC3=O,4329.0,nM,Inhibition of CDK5
CHEMBL505896,COc1cc2c(Oc3ccc(-c4cnc(Cc5ccccc5)n(C)c4=O)cc3F)ccnc2cc1OCCCN1CCOCC1,100000.0,nM,Inhibition of CDK5
CHEMBL453737,COc1cc2c(Oc3ccc(-c4cnc(Nc5ccc(F)cc5)n(C)c4=O)cc3F)ccnc2cc1OCCCN1CCOCC1,100000.0,nM,Inhibition of CDK5
CHEMBL447602,COc1cc2c(Oc3ccc(-c4cnc(Nc5ccc(F)cc5)n(C)c4=O)nc3)ccnc2cc1OCCCN1CCOCC1,100000.0,nM,Inhibition of CDK5
CHEMBL516901,O=c1[nH]c2[nH]cc(-c3ccc(Cl)cc3)c2n2cccc12,50000.0,nM,Inhibition of CDK5
CHEMBL453402,COc1ccc(-c2c[nH]c3[nH]c(=O)c4cccn4c23)cc1OC,50000.0,nM,Inhibition of CDK5
CHEMBL477954,O=c1[nH]c2occ(-c3ccc(Br)cc3)c2n2cccc12,50000.0,nM,Inhibition of CDK5
CHEMBL517818,O=c1[nH]c2occ(-c3ccc(F)cc3)c2n2cccc12,50000.0,nM,Inhibition of CDK5
CHEMBL517669,Cc1ccc(-c2coc3[nH]c(=O)c4cccn4c23)cc1,50000.0,nM,Inhibition of CDK5
CHEMBL478516,COc1ccc(-c2coc3[nH]c(=O)c4cccn4c23)cc1,50000.0,nM,Inhibition of CDK5
CHEMBL478517,O=c1[nH]c2occ(-c3ccc(Cl)c(Cl)c3)c2n2cccc12,50000.0,nM,Inhibition of CDK5
CHEMBL478704,COc1ccc(-c2coc3[nH]c(=O)c4cccn4c23)cc1OC,50000.0,nM,Inhibition of CDK5
CHEMBL34267,COc1ccc(-c2csc3c2-n2cccc2C3=O)cc1OCc1ccccc1,,,Inhibition of CDK5
CHEMBL287508,COc1ccc(-c2csc3c2-n2cccc2C3=O)cc1O,,,Inhibition of CDK5
CHEMBL476236,O=C1c2[nH]cc(-c3ccc(Cl)cc3)c2-n2cccc21,50000.0,nM,Inhibition of CDK5
CHEMBL35864,COc1ccc(-c2c[nH]c3c2-n2cccc2C3=O)cc1OC,50000.0,nM,Inhibition of CDK5
CHEMBL507162,COc1ccc(-c2c[nH]c3c2-n2cccc2C3=O)cc1OCc1ccccc1,50000.0,nM,Inhibition of CDK5
CHEMBL518732,COc1ccc(-c2c[nH]c3c2-n2cccc2C3=O)cc1O,30000.0,nM,Inhibition of CDK5
CHEMBL286423,COc1ccc(-c2coc3c2-n2cccc2C3=O)cc1OC,50000.0,nM,Inhibition of CDK5
CHEMBL476851,COc1ccc(-c2c[nH]c3c2-n2cccc2/C3=N/O)cc1OCc1ccccc1,14000.0,nM,Inhibition of CDK5
CHEMBL444169,COc1ccc(-c2c[nH]c3c2-n2cccc2/C3=N/O)cc1O,3200.0,nM,Inhibition of CDK5
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,10000.0,nM,Inhibition of Cdk5
CHEMBL516640,COc1ccc(-n2cnc3ccc(-c4nnc(SCc5cccc(C#N)c5)o4)cc32)cc1,10000.0,nM,Inhibition of CDK5
CHEMBL574588,Cc1ccc(-c2ccc3occ(-c4ccc([S@+](C)[O-])cc4)c3c2)o1,10000.0,nM,Inhibition of CDK5 by [gamma-33-P]ATP based assay
CHEMBL574613,CC[S@+]([O-])c1ccc(-c2coc3ccc(-c4ccc(C)o4)cc23)cc1,10000.0,nM,Inhibition of CDK5 by [gamma-33-P]ATP based assay
CHEMBL240799,O=C1Nc2ccccc2CN1c1csc(-c2ccncc2)n1,79.0,nM,Inhibition of human CDK5
